lad,pop,hd_mort,edu_lv3,income,health_eat,community,fuel_poverty,gp_access,ae_attn,obesity,chd_emer_elec_ratio,test
E07000194,103965,28.74,60,18181,26.884048488597568,675.15,9.4,76.36577312857122,423.5401230314771,10.167175442677813,0.8010204081632654,FALSE
E07000195,129490,51.01,54.400000000000006,18189,24.757029383152148,879.72,11.3,78.43173228635379,245.55473108527772,12.0702941767741,1.4111600587371513,FALSE
E07000196,112126,34.63,59,18166,25.461634266529487,660.37,9.2,74.222861142789,409.29830466294953,10.588420169016986,1.004032258064516,FALSE
E07000197,135880,28.86,58.8,18399,27.153515507856163,1007.96,10.1,69.4815606627472,321.2344027073198,9.82119292689364,1.182608695652174,FALSE
E07000198,98397,32.29,63.2,17670,25.049746293901105,727.63,10.8,77.70915844751237,251.99677923225906,12.328558752968751,1.2563291139240507,TRUE
E07000199,76678,45.47,48.1,18260,21.937696675047036,727.61,9.7,76.41921397379912,435.7788998281398,10.0089649459266,1.0045537340619308,FALSE
E07000200,91401,22.11,57.8,18654,30.31992637903968,569.86,9.9,73.42099325356564,268.5641589457261,10.497947712548571,0.8260437375745526,FALSE
E07000202,137532,46.34,51.2,19347,24.366637934265263,635.27,12.8,69.07801452819717,273.5928814227179,11.5202394068247,1.0072072072072071,TRUE
E07000203,102493,26.07,62,18850,30.16549830165498,520.32,9.3,70.6436007231349,271.82754745796717,11.159593215220326,0.9222972972972974,FALSE
E07000207,136626,24.09,66.5,29325,35.22815760784924,465.01,7.7,78.5817099569739,420.3525000346837,7.1684587563431394,0.7536842105263157,FALSE
E07000208,79928,24.62,74.7,27973,30.527926549349655,455.36,7.7,83.15080060955684,353.52308647844023,6.2286060566356,0.7554404145077721,FALSE
E07000209,147889,20.64,69,29223,30.86870082388422,559.62,8.5,83.6727334278973,302.76505386078804,5.736027405368133,0.6157540826128722,FALSE
E07000210,87253,21.92,66,27469,32.26117075554406,495.22,7.9,83.15080060955682,353.52308647844023,6.2286060566356,0.7762557077625571,TRUE
E07000211,147757,27.72,53,27010,29.357846401906833,498.21,7.4,85.05131712257395,341.93501610968235,6.844008948203732,0.726775956284153,FALSE
E07000212,88000,31.66,64.60000000000001,28987,29.45165011394649,607.92,7.8,72.95687585392707,474.7286717973503,8.3520571285052,0.7129881925522253,TRUE
E07000213,99334,34.24,57.00000000000001,27988,27.825058493816368,665.41,7.1,72.95687585392707,504.2643521057687,8.3520571285052,0.6649999999999999,FALSE
E07000214,88874,22.15,65,27736,30.614352090862155,523.45,7.2,87.35629294571346,349.4255874997421,7.094005067310793,0.5019262520638416,FALSE
E07000215,87496,29.38,50.5,26830,30.331359565965638,491.21,7.6,86.04886078790827,336.1573307779423,7.14907793967209,0.6863323500491642,FALSE
E07000216,125610,23.31,62.6,27506,33.406486976590834,537.4,8,79.59472679281755,298.98343420561866,6.785323870286028,0.5063492063492063,TRUE
E07000217,101167,26.6,65.2,28064,30.573429832852128,506,7.5,72.95687585392707,504.2643521057687,8.3520571285052,0.6156378600823045,FALSE
E07000218,64850,38.27,47.400000000000006,20624,23.843900197231104,561.65,9.8,70.60137043280281,448.12560447416007,10.7906494852037,1.2611190817790532,FALSE
E07000219,128902,44.57,46.300000000000004,20471,21.7478728567608,660.4,10.8,70.60137043280282,448.12560447416007,10.7906494852037,1.7548845470692718,FALSE
E07000220,107194,36.23,61.199999999999996,20935,25.217506407865127,729.51,10.3,71.29916867803064,446.3179236566344,9.22854943745129,1.7421052631578948,FALSE
E07000221,127580,28.83,68.60000000000001,21265,30.35814213766088,670.78,9.6,87.61682242990653,315.4514688583752,8.51893399884879,1.1535836177474401,FALSE
